This Talk2U-CSEF-hate-speech-pilot-dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content from the Talk2U-CSEF-hate-speech-pilot-dataset is made available under the CC BY-NC. Attibutions to Talk2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61095475,2023-04-10 23:38:37,2023-04-14 7:35:30,,a,LGBT 2 - Victim,,,2023-04-10T23:41:25.286959-03:00,2,0,Feminino,AP_6,Never Experienced,1,as,,2,Yes,2023-04-10T23:38:37.377151-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,Never had contact,,06e78e88-7921-45c7-9625-6e27730a56fd,,,,,,,,,,,,,,,6,,,,,,,4,2023-04-11T00:26:54.912501-03:00,,,,,,,7,26,2023-04-11T00:26:11.124672-03:00,7,8,,4,2023-04-11T00:00:07.693055-03:00,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-04-2023 07:31,"""""",,,,,,,,,,,,,,,,,11,04,2023,1,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
61058510,2023-04-10 14:46:05,2023-04-13 21:48:31,,o,LGBT 1 - Observer,,,2023-04-10T14:47:31.709744-03:00,2,0,Masculino,AP_1_start,Never Experienced,1,os,,2,Yes,2023-04-10T14:46:05.767550-03:00,Yes,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,Never had contact,,05b6536d-0f08-4f17-b00e-c988ed99e6ad,,,,,,,,,,,,,,,1_start,,,,,,,,2023-04-10T16:11:53.315630-03:00,,,,,,,7,9,2023-04-10T15:09:56.311033-03:00,10,10,,8,2023-04-10T15:00:21.472723-03:00,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-04-2023 15:01,"""""",,,,,,,,,,,,,,,,,10,04,2023,1,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
60725195,2023-04-06 8:53:54,2023-04-10 14:21:09,,a,Gordofobia - Observer,,,2023-04-06T09:10:11.886270-03:00,2,0,Feminino,HTP_3,Never Experienced,0,as,A,2,Yes,2023-04-06T08:53:55.661673-03:00,Yes,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,Never had contact,,28635f23-5c9d-48b9-a89e-8cac1919b9a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,10,2023-04-07T12:53:42.242802-03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-04-2023 12:55,,,,,Tudo,,Não vi sentido na interação,,,,Não,,,,,,,,,,,,Fernanda,,Viração educomunicação - recruitment,,,,,,,,,,,
61093314,2023-04-10 21:29:42,2023-04-27 17:43:47,,a,,,,,,,,Research Wave 1,Victim - Don't React,0,as,,5,Yes,2023-04-10T21:29:42.671027-03:00,Yes,Provavelmente não,Definitivamente,Definitivamente,Provavelmente não,,3,,SP,,,,,,,4,5,8,,5,6,23,Female,,Amarelo,Provavelmente,Definitivamente,Definitivamente,Definitivamente,2023-04-10T21:32:55.896823-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,4,Provavelmente não,Provavelmente,Definitivamente,Definitivamente,Definitivamente,Não sei dizer,Provavelmente,Definitivamente não
61092839,2023-04-10 21:08:44,2023-04-13 21:41:30,,a,LGBT 1 - Victim,,,2023-04-10T21:24:32.645071-03:00,2,0,Feminino,TAP_3,Observer - React,0,as,,4,Yes,2023-04-10T21:08:44.992387-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,Observer,Don't react,c5a95399-509e-4115-9fe2-02148a1dbf48,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-10T21:35:04.482438-03:00,,,10-04-2023 21:36,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
61094082,2023-04-10 22:06:48,2023-04-27 18:01:32,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-10T22:06:48.701262-03:00,Yes,Definitivamente,Provavelmente,Provavelmente,Provavelmente não,,7,,BA,,,,,,,5,3,6,,1,10,24,Female,,Branco,Não,Definitivamente,Definitivamente,Definitivamente não,2023-04-10T22:11:51.404410-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,Definitivamente,Provavelmente,Não sei dizer,Provavelmente,Definitivamente,Definitivamente,Definitivamente não,Definitivamente não
61351454,2023-04-11 10:27:20,2023-04-14 10:30:26,,a,,,,,,,,Research Wave 1,,,as,,,Yes,2023-04-11T10:27:20.464361-03:00,Yes,Provavelmente,,,,,2,,SP,,,,,,,4,5,2,,,2,20,Female,,Branco,,,,,,,,58381e7e-531a-4b67-afe4-369b6b67f5fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,,,,,,,,,,
61094130,2023-04-10 22:08:58,2023-04-27 17:40:12,,a,,,,,,,,Screening,Observer - React,0,as,,4,Yes,2023-04-10T22:08:58.616738-03:00,Yes,Definitivamente,Definitivamente não,Definitivamente,Definitivamente não,,7,,RJ,,,,,,,4,3,7,,,,21,Female,,Pardo,não,Não sei dizer,Definitivamente,Não sei dizer,2023-04-14T18:50:20.336368-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61093224,2023-04-10 21:25:17,2023-04-16 12:29:30,,a,LGBT 2 - Observer,,,2023-04-10T21:27:37.495359-03:00,1,0,Feminino,AP_3,Never Experienced,1,as,,2,Yes,2023-04-10T21:25:17.424320-03:00,Yes,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,Never had contact,,2b912562-55b4-479a-91ec-b01dcffdd2b7,,,,,,,,,,,,,,,3,,,,,,,2,2023-04-13T11:30:32.345534-03:00,,,,,,,7,17,2023-04-10T23:20:00.206737-03:00,10,8,,7,2023-04-10T23:02:03.047082-03:00,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-04-2023 12:29,"""""",,,,,,,,,,,,,,,,,10,04,2023,1,,Jonas,,UNICEF - recruitment,,,,,,,,,,,
61429741,2023-04-13 18:44:30,2023-04-27 17:41:22,,a,,,,,2,,,Research Wave 1,Observer - React,2,as,,4,Yes,2023-04-13T18:44:30.914483-03:00,Yes,Provavelmente não,Definitivamente não,Definitivamente,Definitivamente não,,7,,SP,,,,,,,4,5,7,,,,22,Female,,Pardo,Definitivamente não,Definitivamente não,Definitivamente,Definitivamente não,2023-04-13T19:32:01.890584-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,5,11,2023-04-15T13:47:13.573188-03:00,8,8,,,6,7,2023-04-15T13:35:49.725036-03:00,5,,,,,,,,,,,,,7,7,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,10,,,,,,,,,,,,,19,2023-04-14T09:35:55.338339-03:00,7,d,"Além de acreditar ser difícil a aplicação no dia a dia, acredito também que o exército ajuda mais de forma preventiva para não engajar o discurso de ódio e ter consciência da reação a ser tomada após ser vítima de um discurso de ódio, ou presenciar alguém sendo vítima. Não consigo ver essa estratégia sendo usada NO MOMENTO, em que a pessoa está sofrendo por discurso de ódio, mas acredito que é uma estratégia excelente para prevenção ao engajamento e saber previamente como reagir a esse discurso",2023-04-14T09:16:50.725207-03:00,5,,15-04-2023 13:38,,,,,,,,,,,,,,,,,,15,04,2023,1,,Fernanda,,UNICEF - recruitment,,W2 - Research,7,Provavelmente não,Provavelmente,Provavelmente não,Definitivamente não,Definitivamente,Definitivamente,Definitivamente não,Definitivamente não
61440140,2023-04-14 10:41:39,2023-04-27 17:40:16,,a,,,,,,,,Research Wave 1,Observer - React,0,as,,4,Yes,2023-04-14T10:41:39.896150-03:00,Yes,Provavelmente,Provavelmente não,Definitivamente,Definitivamente não,,5,,MG,,,,,,,4,4,7,,5,7,21,Female,,Branco,Provavelmente,Definitivamente não,Provavelmente,Definitivamente não,2023-04-14T10:53:47.923584-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61096293,2023-04-11 1:59:40,2023-04-27 17:40:12,,o,,,,,2,,,Research Wave 1,Never Experienced,0,os,,2,Yes,2023-04-11T01:59:41.314633-03:00,Yes,Definitivamente,Provavelmente não,Provavelmente não,Definitivamente não,,8,,Ba,,,,,,,4,4,8,,,,23,Male,,Pardo,Não,Provavelmente,Definitivamente,Provavelmente não,2023-04-11T02:06:24.757237-03:00,Never had contact,,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-04-2023 02:08,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61093128,2023-04-10 21:20:04,2023-04-27 17:40:09,,a,,,,,2,,,Research Wave 1,Observer - React,1,as,,4,Yes,2023-04-10T21:20:05.164937-03:00,Yes,Definitivamente,Provavelmente não,Provavelmente,Provavelmente não,,8,,MA,,,,,,,5,5,8,,8,8,24,Female,,Branco,Provavelmente,Não sei dizer,Definitivamente,Provavelmente não,2023-04-10T21:41:14.573297-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,3,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023-04-10T21:53:51.095009-03:00,9,,,2023-04-10T21:44:32.374176-03:00,5,,10-04-2023 21:45,,,,,,,,,,,,,,,,,,10,04,2023,1,,Fernanda,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61092666,2023-04-10 21:01:49,2023-04-24 18:47:24,,o,,,,,,,,Research Wave 1,Victim - React,0,os,,7,Yes,2023-04-10T21:01:49.790620-03:00,Yes,Definitivamente,Definitivamente não,Definitivamente,Definitivamente não,,6,,BA,,,,,,,4,4,6,,,6,22,Male,,Pardo,Definitivamente,Provavelmente não,Provavelmente não,Provavelmente não,2023-04-11T14:53:36.742771-03:00,Victim,React,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61350038,2023-04-11 9:36:21,2023-04-27 17:40:19,,a,,,,,1,,,Research Wave 1,Observer - React,1,as,,4,Yes,2023-04-11T09:36:21.779136-03:00,Yes,Definitivamente,Definitivamente não,Definitivamente,Definitivamente não,,6,,BA,,,,,,,4,4,6,,,,23,Female,,Preto,Definitivamente não,Provavelmente,Definitivamente,Definitivamente não,2023-04-11T09:42:44.741169-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101,2023-04-12T20:47:27.148753-03:00,10,,,2023-04-11T09:45:56.662556-03:00,5,,11-04-2023 09:47,,,,,,,,,,,,,,,,,,12,04,2023,1,,Jonas,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61087919,2023-04-10 17:35:59,2023-04-24 16:42:54,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-10T17:35:59.518655-03:00,Yes,Provavelmente,Provavelmente,Provavelmente,Definitivamente não,,6,,BA,,,,,,,4,5,7,,,,21,Female,,Pardo,não,Provavelmente não,Definitivamente,Definitivamente,2023-04-10T17:51:51.622314-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex Talk2U - Recruitment,,W2 - Research,,,,,,,,,
61360328,2023-04-11 15:06:56,2023-04-17 16:46:31,,a,Gordofobia - Victim,,,2023-04-11T15:09:09.774582-03:00,2,0,Feminino,TAP_3,Observer - React,0,as,,4,Yes,2023-04-11T15:06:57.081191-03:00,Yes,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,Observer,Don't react,c5a95399-509e-4115-9fe2-02148a1dbf48,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11T16:28:50.493990-03:00,,,11-04-2023 16:30,"""""",,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
60224253,2023-03-21 17:40:17,2023-04-23 20:53:31,,a,,,,,2,,,5,Observer - React,4,as,g,4,Yes,2023-03-21T17:40:17.494097-03:00,Yes,Provavelmente,Provavelmente não,Não sei dizer,Provavelmente não,,8,7,SP,,,,,,,5,5,9,,,,28,Female,,Branco,Provavelmente,Provavelmente,Provavelmente não,Definitivamente não,2023-03-21T18:01:59.678154-03:00,Observer,Don't react,0cf83b42-abce-4091-a74a-09fc796add03,,,1_start,,,,,,,3,5,2023-03-21T19:29:55.530210-03:00,,,6,,,,,,,2,2023-03-21T20:00:27.226611-03:00,,,7,6,,a emoção envolvida,7,17,2023-03-21T20:00:03.965639-03:00,10,5,B,6,2023-03-21T19:43:03.958096-03:00,3,,0,,,,,5,,,,,,,,,,,,,,,,5,11,2023-03-21T19:42:39.080410-03:00,5,9,,,0,2023-04-18T19:53:25.016063-03:00,5,,,16,2023-03-21T18:21:04.340627-03:00,10,,,2023-03-21T18:04:50.877867-03:00,5,,18-04-2023 19:57,,,,,,,,,,,,,,,acabei,,,21,03,2023,3,,Fernanda,,Friends&Family,,W2 - Research,8,Não sei dizer,Provavelmente não,Provavelmente,Provavelmente,Provavelmente,Definitivamente,Definitivamente não,Provavelmente não
61391514,2023-04-12 13:15:43,2023-04-27 17:40:48,,a,,,,,,,,Research Wave 1,Victim - Don't React,0,as,,5,Yes,2023-04-12T13:15:44.206310-03:00,Yes,Definitivamente,Provavelmente,Provavelmente,Definitivamente não,,0,,MT,,,,,,,4,3,4,,6,0,24,Female,,Pardo,não,Definitivamente,Definitivamente,Provavelmente não,2023-04-12T13:19:43.368998-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
62135103,2023-04-18 10:31:01,2023-04-23 10:32:35,,a,,,,,1,,,TAP_7,Observer - React,1,as,,4,Yes,2023-04-18T10:31:02.255125-03:00,Yes,Definitivamente,Definitivamente não,Provavelmente não,Provavelmente não,,7,,PB,,,,,,,5,4,6,,,,26,Female,,Branco,Definitivamente não,Não sei dizer,Definitivamente,Definitivamente não,2023-04-18T10:38:06.799569-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,3,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2023-04-18T10:50:15.597752-03:00,8,,,2023-04-18T10:41:16.510309-03:00,5,,18-04-2023 10:42,,,,,,,,,,,,,,,,,,18,04,2023,1,,Jonas,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61094673,2023-04-10 22:38:44,2023-04-19 18:53:46,,a,LGBT 2 - Observer,,,2023-04-10T22:40:56.641866-03:00,1,0,Feminino,AM2_3_exercise,Observer - React,1,as,,4,Yes,2023-04-10T22:38:44.868544-03:00,Yes,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,Observer,Don't react,d200c39f-43b7-4187-9833-039649798765,,,3,,,,,,,10,8,2023-04-14T21:35:41.569345-03:00,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2023-04-13T20:44:31.060470-03:00,9,,,2023-04-13T20:24:24.980290-03:00,4,,16-04-2023 17:09,,,,,,,,,,,,,,,,,,13,04,2023,1,,Jonas,,Press release - recruitment,,,,,,,,,,,
62305319,2023-04-22 21:07:48,2023-04-27 21:08:06,,a,,,,,,,,Screening,Observer - React,0,as,,4,Yes,2023-04-22T21:07:48.501930-03:00,Yes,Provavelmente não,Provavelmente,Definitivamente,Não sei dizer,,7,,RJ,,,,,,,,,8,,,,20,Female,,Branco,Definitivamente,Provavelmente,Definitivamente,Provavelmente,2023-04-22T21:17:23.089475-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,,,,,,,,
61420955,2023-04-13 13:22:15,2023-04-13 15:41:12,,a,LGBT 2 - Observer,,,2023-04-13T13:23:39.825662-03:00,2,0,Feminino,End of experience,Observer - Don't React,1,as,,1,Yes,2023-04-13T13:22:15.915820-03:00,Yes,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,Observer,Don't react,e87fb89e-9929-4659-bc7d-36debe3b8f71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,2023-04-13T15:40:22.733277-03:00,10,8,,8,2023-04-13T15:27:56.435762-03:00,5,,0,,,,,,,,,,,,,,,,,,,,,2s,,,,,,,9,2023-04-13T15:26:38.299972-03:00,,,,,,,,,,,,13-04-2023 15:31,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
61096268,2023-04-11 1:52:14,2023-04-27 17:40:09,,o,,,,,1,,,Research Wave 1,Victim - React,0,os,,7,Yes,2023-04-11T01:52:14.868355-03:00,Yes,Definitivamente,Definitivamente não,Provavelmente,Definitivamente não,,7,,RJ,,,,,,,5,2,7,,,,23,Male,,Preto,Provavelmente,Provavelmente não,Provavelmente,Definitivamente não,2023-04-11T01:57:15.081079-03:00,Victim,React,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-04-2023 01:59,,,,,,,,,,,,,,,,,,,,,,,Jonas,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
60646226,2023-04-03 17:46:26,2023-04-13 18:59:08,,o,,,,,2,,,Research Wave 1,Observer - Don't React,1,os,,1,Yes,2023-04-03T17:46:26.647962-03:00,Yes,Provavelmente,Provavelmente não,Definitivamente,Provavelmente não,,8,,sp,,,,,,,5,5,8,,,,27,Male,,Branco,Provavelmente,Definitivamente,Provavelmente,Não sei dizer,2023-04-03T17:52:14.576473-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,2023-04-03T20:26:54.272772-03:00,9,8,,5,2023-04-03T20:16:58.032965-03:00,4,,0,,,,,,,,,,,,,,,,,,,,,2s,,,,,,,9,2023-04-03T18:58:08.074477-03:00,,,,,,,,,,,,03-04-2023 20:18,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,,,W2 - Research,,,,,,,,,
62152031,2023-04-18 18:19:53,2023-04-27 17:40:05,,a,,,,,2,,,AP_2,Victim - Don't React,0,as,,5,Yes,2023-04-18T18:19:53.761127-03:00,Yes,Definitivamente,Provavelmente não,Não sei dizer,Provavelmente não,,7,,Sp,,,,,,,4,4,6,,,,20,Female,,Branco,Definitivamente não,Provavelmente,Provavelmente,Definitivamente não,2023-04-18T18:24:15.647918-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,2,,,,,,,,2023-04-18T18:27:54.948113-03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-04-2023 18:26,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,AOF recruitment,,W2 - Research,,,,,,,,,
61094016,2023-04-10 22:02:56,2023-04-27 17:43:36,,a,,,,,,,,Research Wave 1,Never Experienced,0,as,,2,Yes,2023-04-10T22:02:57.263983-03:00,Yes,Não sei dizer,Provavelmente não,Provavelmente,Definitivamente não,,3,,RJ,,,,,,,4,4,6,,4,6,23,Female,,Branco,Provavelmente,Definitivamente,Definitivamente,Definitivamente não,2023-04-10T22:10:19.198198-03:00,Never had contact,,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,3,Provavelmente não,Definitivamente,Provavelmente,Definitivamente,Definitivamente,Definitivamente,Definitivamente não,Definitivamente não
61350985,2023-04-11 10:12:28,2023-04-27 17:40:04,,a,,,,,2,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-11T10:12:28.776746-03:00,Yes,Definitivamente,Provavelmente não,Definitivamente,Definitivamente não,,7,,RJ,,,,,,,4,2,5,,,,22,Female,,Branco,Não,Provavelmente,Definitivamente,Definitivamente não,2023-04-11T10:19:06.657242-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,7,2023-04-11T11:47:54.271245-03:00,,,,,,,,,,,,11-04-2023 12:04,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61059473,2023-04-10 15:16:05,2023-04-24 18:29:51,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-10T15:16:06.150399-03:00,Yes,Não sei dizer,Provavelmente não,Definitivamente,Não sei dizer,,10,10,Ba,,,,,,,4,5,8,,6,9,20,Female,,Branco,Provavelmente,Definitivamente,Definitivamente,Provavelmente não,2023-04-12T12:18:06.158222-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,9,Definitivamente,Não sei dizer,Provavelmente não,Não sei dizer,Provavelmente,Definitivamente,Provavelmente não,Não sei dizer
61059240,2023-04-10 15:08:35,2023-04-12 18:21:52,,a,Gordofobia - Victim,,,2023-04-10T15:11:06.846539-03:00,2,0,Feminino,End of experience,Victim - Don't React,4,as,,4,Yes,2023-04-10T15:08:35.322044-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,Victim,Don't react,e87fb89e-9929-4659-bc7d-36debe3b8f71,8_final,7,,,,,,,,,,,,,7,18,2023-04-10T15:43:08.523053-03:00,7,10,,,5,2023-04-10T15:24:40.038205-03:00,5,,,,2023-04-11T20:36:39.604139-03:00,,7,21,2023-04-12T18:21:06.963586-03:00,10,10,,6,2023-04-12T17:59:44.126660-03:00,5,,0,4,,,,,8,10,,2,10,0,99,2023-04-11T18:45:06.299323-03:00,10,,,2023-04-11T17:05:29.262014-03:00,5,,,2s,,,,,,,10,2023-04-12T17:57:39.364316-03:00,,,2023-04-11T18:50:16.105320-03:00,,,,,,,,,12-04-2023 18:01,,,,,,,,,,,,,,,,,,11,04,2023,2,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
61095887,2023-04-11 0:24:53,2023-04-27 17:40:15,,a,,,,,,,,Research Wave 1,Victim - Don't React,0,as,,5,Yes,2023-04-11T00:24:54.189976-03:00,Yes,Provavelmente não,Não sei dizer,Definitivamente,Definitivamente não,,2,,SP,,,,,,,4,3,3,,,,21,Female,,Pardo,Definitivamente,Definitivamente,Definitivamente,Definitivamente não,2023-04-11T00:29:44.178379-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W2 - Research,,,,,,,,,
61094333,2023-04-10 22:20:00,2023-04-24 18:58:17,,a,,,,,,,,Research Wave 1,Victim - React,0,as,,7,Yes,2023-04-10T22:20:00.446522-03:00,Yes,Definitivamente,Definitivamente não,Provavelmente,Definitivamente não,,8,6,SP,,,,,,,4,5,8,,6,8,23,Female,,Branco,Provavelmente,Não sei dizer,Definitivamente,Provavelmente não,2023-04-10T22:25:19.517648-03:00,Victim,React,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,Provavelmente,Definitivamente,,,,,,
